source,product,Brand_custom,Category_custom,Flavor_custom,Item_custom,name,date,status,sentiment,topic,notes,author,verified,vine,stars,pvotes,tvotes,title,text,image,video,reviewid,reviewlink,parent,statusdt,statustime,helpfulcount,commenttext,commentauthor,officialcomment,totalcomments,commentts,commentdatestring,inputtime
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",5/2/19,Not Assigned,Not Assigned,Not Assigned,,Pam Fox Rollin,TRUE,n/a,5,0,0,Yummy. Filling. Low net carb.,"Totally surprised how great this was... had one from a store, then had a box delivered to the hotel I was staying at! Yummy. Filling. Low net carb.",No,No,R1DKRHEB9JTFFG,https://www.amazon.com/review/R1DKRHEB9JTFFG/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,5/4/19 4:22
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",4/29/19,Not Assigned,Not Assigned,Not Assigned,,dan izhaky,TRUE,n/a,1,0,0,Taste funny,Box came crushed.,No,No,R2WGJ67ALVHZH8,https://www.amazon.com/review/R2WGJ67ALVHZH8/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,5/1/19 20:22
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",4/15/19,Not Assigned,Not Assigned,Not Assigned,,Looking for Mr. Perfect Protein Bar,TRUE,n/a,4,0,0,Yes Dang are tasty!,"I like these bars very much.  They taste better than most protein bars and have a nice crunch and consistency.  Also contain more protein than another bar I like.  They  are milk-free, gluten, and soy free which I need. AND NO SUGAR, sweetened with Stevia which is 0 glycemic.  I wish they were less costly.  I would buy them on auto-refill from Amazon if that was offered.",No,No,R2TV4U5IPMIGSV,https://www.amazon.com/review/R2TV4U5IPMIGSV/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/18/19 12:46
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",4/3/19,Not Assigned,Not Assigned,Not Assigned,,Laura Sira,TRUE,n/a,5,0,0,Healthy snacking tastes great,Tastes so good!!,No,No,R1E7Q9XE1PGDGS,https://www.amazon.com/review/R1E7Q9XE1PGDGS/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",3/10/19,Not Assigned,Not Assigned,Not Assigned,,Todd Council,FALSE,n/a,5,0,0,Delicious!,Low the taste and low carbs.,No,No,R2EQSDAN4MUJTD,https://www.amazon.com/review/R2EQSDAN4MUJTD/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",3/2/19,Not Assigned,Not Assigned,Not Assigned,,MM3,TRUE,n/a,5,0,0,My faves,Love these,No,No,R30XNK5255FT1X,https://www.amazon.com/review/R30XNK5255FT1X/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",2/24/19,Not Assigned,Not Assigned,Not Assigned,,Dianne Singleton,TRUE,n/a,4,0,0,It's a nice snack,"It's not the best tasitng bar ever, but it does fill the void for something sweet.  My fault though - I am NOT a big coconut freak.",No,No,RMC4AHLBLPK4Z,https://www.amazon.com/review/RMC4AHLBLPK4Z/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",2/16/19,Not Assigned,Not Assigned,Not Assigned,,zunar_j5,TRUE,n/a,5,0,0,Very tasty when you need something crunchy!,"Bars are awesome! They are a bit expensive, but if I've learned anything going down the low carb and/or Keto route is that it always costs a bit more to get foods that are better for you and have less refined junk in them. We're used to paying for cheap carbs these days, so getting past the sticker shock can be tough.",No,No,R2IJRR7VPM6E5V,https://www.amazon.com/review/R2IJRR7VPM6E5V/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",1/22/19,Not Assigned,Not Assigned,Not Assigned,,Amazon Customer,TRUE,n/a,5,0,0,Great taste,One of the only low sugar Keto bars that actually doesnâ€™t taste fake. You can tell they use real ingredients,No,No,R3QC9ME19ECXET,https://www.amazon.com/review/R3QC9ME19ECXET/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
amazon,B07GY3X7KH,Dang,Bars,Almond Vanilla,"Dang Bar - KETO CERTIFIED, Low Carb, Plant Based, Gluten Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)","Dang Bar - KETO CERTIFIED, Low Carb, Low Sugar, Plant-Based, Gluten-Free, Real Food Snack Bar, 3g Sugar, 5g Net Carbs, No Sugar Alcohols or Artificial Sweeteners, 12 Count (Almond Vanilla)",11/19/18,Not Assigned,Not Assigned,Not Assigned,,Alyce Jackson-Bostick,TRUE,n/a,5,0,0,DANG!,"This is my 2nd order, DANG, you sure are a tasty treat! Youâ€™re so DANG good youâ€™ll always be on my snack list.",No,No,R1KIKFH4KAM3Q,https://www.amazon.com/review/R1KIKFH4KAM3Q/ref=cm_cr_dp_title?ie=UTF8&ASIN=B07GY3X7KH,B07P5TRXYQ,,,,,,,,,,4/12/19 15:33
